caller,receiver,timestamp,duration_sec,tower_id
9811000004,9811000002,2026-03-08 03:00,50,TWR317
9811000008,9811000002,2026-03-08 06:00,408,TWR487
9822000004,9822000001,2026-03-08 06:00,385,TWR333
9990001111,9811000001,2026-03-08 08:00,376,TWR222
9811000007,9811000002,2026-03-08 09:00,539,TWR377
9822000005,9822000001,2026-03-08 10:00,322,TWR979
9811000003,9811000002,2026-03-08 14:00,496,TWR876
9990001111,9811000002,2026-03-08 17:00,355,TWR948
9990001111,9811000002,2026-03-08 20:00,586,TWR140
9811000005,9811000002,2026-03-08 21:00,89,TWR865
9822000004,9822000001,2026-03-08 21:00,76,TWR156
9811000005,9811000002,2026-03-09 00:00,92,TWR166
9849909091,9836521384,2026-03-09 03:00,387,TWR384
9990001111,9822000001,2026-03-09 06:00,153,TWR417
9990001111,9811000001,2026-03-09 06:00,247,TWR806
9822000004,9822000001,2026-03-09 07:00,334,TWR949
9990001111,9822000001,2026-03-09 19:00,393,TWR729
9990001111,9811000001,2026-03-10 06:00,347,TWR370
9990001111,9822000001,2026-03-10 14:00,536,TWR695
9850008738,9856022006,2026-03-11 15:00,53,TWR992
9990001111,9811000002,2026-03-12 10:00,120,TWR530
9990001111,9811000001,2026-03-12 12:00,560,TWR279
9990001111,9822000001,2026-03-13 05:00,45,TWR351
9990001111,9811000001,2026-03-13 06:00,238,TWR639
9856022006,9817987691,2026-03-13 17:00,58,TWR208
9845154845,9864073233,2026-03-16 04:00,249,TWR411
9836521384,9819129835,2026-03-17 09:00,235,TWR866
9990001111,9822000001,2026-03-18 03:00,37,TWR858
9990001111,9822000001,2026-03-18 03:00,475,TWR644
9990001111,9822000001,2026-03-18 06:00,183,TWR529
9811000002,9990001111,2026-03-18 08:00,371,TWR420
9990001111,9822000001,2026-03-18 08:00,337,TWR424
9990001111,9822000001,2026-03-18 13:00,383,TWR767
9811000002,9990001111,2026-03-18 14:00,224,TWR736
9811000002,9990001111,2026-03-18 15:00,282,TWR824
9990001111,9822000001,2026-03-18 17:00,433,TWR546
9990001111,9822000001,2026-03-18 20:00,261,TWR254
9990001111,9822000001,2026-03-18 21:00,328,TWR206
9990001111,9822000001,2026-03-18 21:00,361,TWR314
9811000002,9990001111,2026-03-19 00:00,262,TWR734
9990001111,9822000001,2026-03-19 00:00,306,TWR250
9811000002,9990001111,2026-03-19 01:00,50,TWR229
9990001111,9822000001,2026-03-19 03:00,416,TWR725
9811000002,9990001111,2026-03-19 04:00,391,TWR855
9990001111,9822000001,2026-03-19 06:00,126,TWR285
9811000002,9990001111,2026-03-19 07:00,58,TWR387
9990001111,9822000001,2026-03-19 09:00,266,TWR363
9811000002,9990001111,2026-03-19 11:00,168,TWR198
9811000002,9990001111,2026-03-19 12:00,138,TWR206
9811000002,9990001111,2026-03-19 13:00,234,TWR402
9811000002,9990001111,2026-03-19 14:00,293,TWR681
9817554395,9871294820,2026-03-20 19:00,518,TWR193
9819129835,9850008738,2026-03-22 15:00,31,TWR266
9858092331,9868959701,2026-03-22 21:00,270,TWR901
9811317236,9849909091,2026-03-23 00:00,345,TWR515
9871294820,9811317236,2026-03-24 10:00,42,TWR166
9817987691,9858092331,2026-03-24 19:00,497,TWR641
9868811777,9845154845,2026-03-26 21:00,105,TWR722
9868959701,9868811777,2026-03-31 19:00,574,TWR956
